city,department,region
Six-Fours-les-Plages,83,Provence-Alpes-Côte d'Azur
Stains,93,Île-de-France
Strasbourg,67,Grand Est
Suresnes,92,Île-de-France
Talence,33,Nouvelle-Aquitaine
Tarbes,65,Occitanie
Thiais,94,Île-de-France
Thionville,57,Grand Est
Thonon-les-Bains,74,Auvergne-Rhône-Alpes
Toulon,83,Provence-Alpes-Côte d'Azur
Toulouse,31,Occitanie
Tourcoing,59,Hauts-de-France
Tours,37,Centre-Val de Loire
Trappes,78,Île-de-France
Tremblay-en-France,93,Île-de-France
Troyes,10,Grand Est
Valence,26,Auvergne-Rhône-Alpes
Valenciennes,59,Hauts-de-France
Vannes,56,Bretagne
Vaulx-en-Velin,69,Auvergne-Rhône-Alpes
Vénissieux,69,Auvergne-Rhône-Alpes
Versailles,78,Île-de-France
Vigneux-sur-Seine,91,Île-de-France
Villefranche-sur-Saône,69,Auvergne-Rhône-Alpes
Villejuif,94,Île-de-France
Villemomble,93,Île-de-France
Villenave-d'Ornon,33,Nouvelle-Aquitaine
Villeneuve-d'Ascq,59,Hauts-de-France
Villeneuve-Saint-Georges,94,Île-de-France
Villepinte,93,Île-de-France
Villeurbanne,69,Auvergne-Rhône-Alpes
Vincennes,94,Île-de-France
Viry-Châtillon,91,Île-de-France
Vitrolles,13,Provence-Alpes-Côte d'Azur
Vitry-sur-Seine,94,Île-de-France
Wattrelos,59,Hauts-de-France
Yerres,91,Île-de-France
Yevres,28,Centre-Val de Loire
Yonne,89,Bourgogne-Franche-Comté
Yssingeaux,43,Auvergne-Rhône-Alpes
Yutz,57,Grand Est
Yvelines,78,Île-de-France
Yvetot,76,Normandie
Yvré-l'Évêque,72,Pays de la Loire
Yzeure,3,Auvergne-Rhône-Alpes
Yzeures-sur-Creuse,37,Centre-Val de Loire
Zillisheim,68,Grand Est
Zoufftgen,57,Grand Est
Zuydcoote,59,Hauts-de-France
Zuytpeene,59,Hauts-de-France
