degree,formation,speciality,segmentation,
CAP,Lapidaire,Diamant,,CAP Lapidaire Diamant
CAP,Lapidaire,Pierres de couleur,,CAP Lapidaire Pierres de couleur
CAP,Mareyage,,,CAP Mareyage
CAP,Maroquinerie,,,CAP Maroquinerie
CAP,Mécanicien conducteur des scieries et des industries mécanique du bois,"Mécanicien affûteur de sciage, tranchage, déroulage",,"CAP Mécanicien conducteur des scieries et des industries mécanique du bois Mécanicien affûteur de sciage, tranchage, déroulage"
CAP,Menuiserie en sièges,,,CAP Menuiserie en sièges
CAP,Métiers du football,,,CAP Métiers du football
CAP,Métiers de la gravure,Gravure d'ornementation,,CAP Métiers de la gravure Gravure d'ornementation
CAP,Métiers de la gravure,Gravure d'impression,,CAP Métiers de la gravure Gravure d'impression
CAP,Métiers de la gravure,Gravure en modele,,CAP Métiers de la gravure Gravure en modele
CAP,Métiers de la gravure,Marquage poinçonnage,,CAP Métiers de la gravure Marquage poinçonnage
CAP,Mise en oeuvre des caoutchoucs et des élastomères thermoplastiques,,,CAP Mise en oeuvre des caoutchoucs et des élastomères thermoplastiques
CAP,Modèles et moules céramiques,,,CAP Modèles et moules céramiques
CAP,Monteur en chapiteaux,,,CAP Monteur en chapiteaux
CAP,Monteur en isolation thermique acoustique,,,CAP Monteur en isolation thermique acoustique
CAP,Monteur de structures mobiles,,,CAP Monteur de structures mobiles
CAP,Mouleur noyauteur : cuivre et bronze,,,CAP Mouleur noyauteur : cuivre et bronze
CAP,Orfèvre,Monteur en orfèvrerie,,CAP Orfèvre Monteur en orfèvrerie
CAP,Orfèvre,Polisseur aviveur en orfèvrerie,,CAP Orfèvre Polisseur aviveur en orfèvrerie
CAP,Orfèvre,Tourneur repousseur en orfèvrerie,,CAP Orfèvre Tourneur repousseur en orfèvrerie
CAP,Orfèvre,Planeur en orfèvrerie,,CAP Orfèvre Planeur en orfèvrerie
CAP,Orthoprothésiste,,,CAP Orthoprothésiste
CAP,Outillage en moules métalliques,,,CAP Outillage en moules métalliques
CAP,Outillages en outils à découper et à emboutir,,,CAP Outillages en outils à découper et à emboutir
CAP,Ouvrier archetier,,,CAP Ouvrier archetier
CAP,Podo-orthésiste,,,CAP Podo-orthésiste
CAP,Mise en forme des matériaux,,,CAP Mise en forme des matériaux
CAP,Arts du Verre et du Cristal,,,CAP Arts du Verre et du Cristal
CAP,Souffleur de Verre,Verrerie scientifique,,CAP Souffleur de Verre Verrerie scientifique
CAP,Sellerie générale,,,CAP Sellerie générale
CAP,Sérigraphie industrielle,,,CAP Sérigraphie industrielle
CAP,Staffeur Ornemaniste,,,CAP Staffeur Ornemaniste
CAP,Tapissier-tapissière d'ameublement en décor,,,CAP Tapissier-tapissière d'ameublement en décor
CAP,Tapissier-tapissière d'ameublement en siège,,,CAP Tapissier-tapissière d'ameublement en siège
CAP,Tonnellerie,,,CAP Tonnellerie
CAP,Tournage céramique,,,CAP Tournage céramique
CAP,Transports par câbles et remontées mécaniques,,,CAP Transports par câbles et remontées mécaniques
CAP,Boucher,,,CAP Boucher
CAP,Rentrayeur,Tapisseries,,CAP Rentrayeur Tapisseries
CAP,Souffleur de Verre,Enseigne lumineuse,,CAP Souffleur de Verre Enseigne lumineuse
CAP,Plasturgie,,,CAP Plasturgie
CAP,Menuisier aluminium-verre,,,CAP Menuisier aluminium-verre
CAP,Assistant technique en instruments de musique,Piano,,CAP Assistant technique en instruments de musique Piano
CAP,Assistant technique en instruments de musique,Guitare,,CAP Assistant technique en instruments de musique Guitare
CAP,Assistant technique en instruments de musique,Instruments à vent,,CAP Assistant technique en instruments de musique Instruments à vent
CAP,Assistant technique en instruments de musique,Accordéon,,CAP Assistant technique en instruments de musique Accordéon
CAP,Chocolatier confiseur,,,CAP Chocolatier confiseur
